PENDAPATAN ORANG TUA;PEKERJAAN ORANG TUA;JUMLAH TANGGUNGAN;STATUS RUMAH;LABEL
Rendah;Petani;Sedang;Milik Sendiri;Ya
Rendah;Petani;Sedang;Milik Sendiri;Ya
Rendah;Petani;Sedang;Milik Sendiri;Ya
Rendah;Wiraswasta;Sedang;Milik Sendiri;Tidak
Rendah;Petani;Sedikit;Milik Sendiri;Ya
Rendah;Petani;Sedikit;Milik Sendiri;Ya
Rendah;Petani;Sedikit;Milik Sendiri;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Wiraswasta;Sedang;Milik Sendiri;Tidak
Rendah;Petani;Banyak;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Banyak;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedang;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
Rendah;Petani;Sedikit;Kontrak/Sewa;Ya
